documents,dimensions,top_k,ram_gb,branch_scale,method,modeled_ms,expected_matching_rows,expected_prefix_recall,insufficient_probability_upper_log10,leaf_size,break_even_scan_fraction,payload_lower_bytes,planning_index_bytes,scratch_bytes,reserve_bytes,planning_total_bytes,status
100000000,256,100,1000,2,scan_prefix,0.37296918799451495,12207.03125,1.0,-2607.902349507449,0,0.008231996466594225,4000000000,4804194304,65536,1000000000.0,5804259840.0,modeled_fit
100000000,256,100,1000,2,keys,0.3711259842040291,12207.03125,1.0,-2607.902349507449,0,0.008231996466594225,4000000000,4800655872,65536,1000000000.0,5800721408.0,modeled_fit
100000000,256,100,1000,2,branch,20.355210872367024,12207.03125,1.0,-2607.902349507449,16000,0.008231996466594225,7200000000,8000000512,187500000,1000000000.0,9187500512.0,modeled_fit
100000000,256,100,1000,2,branch_prefix,0.36300079756797327,12207.03125,1.0,-2607.902349507449,24415,0.008231996466594225,7200000000,8020969472,68592,1000000000.0,9021038064.0,modeled_fit
500000000,256,100,32,1,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
500000000,256,100,32,1,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,32,1,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,32,1,branch,50.81784096546471,61035.15625,1.0,-13210.655496444082,80000,0.004110321331385025,36000000000,40000000512,937500000,1000000000.0,41937500512.0,payload_exceeds_budget
500000000,256,100,32,1,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.004110321331385025,36000000000,40020969472,80800,1000000000.0,41021050272.0,payload_exceeds_budget
500000000,256,100,64,1,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
500000000,256,100,64,1,scan_prefix,1.6982291710977344,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24004194304,65536,1000000000.0,25004259840.0,modeled_fit
500000000,256,100,64,1,keys,1.6963859673072486,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000655872,65536,1000000000.0,25000721408.0,modeled_fit
500000000,256,100,64,1,branch,50.81784096546471,61035.15625,1.0,-13210.655496444082,80000,0.004110321331385025,36000000000,40000000512,937500000,1000000000.0,41937500512.0,modeled_fit
500000000,256,100,64,1,branch_prefix,1.6526644886018607,61035.15625,1.0,-13210.655496444082,122071,0.004110321331385025,36000000000,40020969472,80800,1000000000.0,41021050272.0,modeled_fit
500000000,256,100,1000,1,scan_all,12363.471580053085,61035.15625,1.0,-13210.655496444082,0,0.004110321331385025,20000000000,24000000512,65536,1000000000.0,25000066048.0,modeled_fit
